MFN;Columna;Antes;Despues
031810;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031811;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031812;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031813;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031814;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031815;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031818;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031820;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031821;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031822;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031823;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031824;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031825;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031826;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031827;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031828;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031829;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031836;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031838;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031839;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031844;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031845;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031847;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031848;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031852;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031853;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031854;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031856;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031857;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031858;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031859;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031860;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031861;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031862;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031863;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031864;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031865;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031866;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031867;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031868;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031870;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031872;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031873;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031875;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031876;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031877;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031878;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031879;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031880;v7_Tipo_de_documento;obra de referencia<|>Libro electrónico;Obra de referencia<|>Libro electrónico
031881;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031882;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031884;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031886;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031888;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031890;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031893;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031895;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031897;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031898;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
